Site_Name,Country,Site_ID,Latitude,Longitude,NE_Latitude_edge,NE_Longitude_edge,NW_Latitude_edge,NW_Longitude_edge,SW_Latitude_edge,SW_Longitude_edge,SE_Latitude_edge,SE_Longitude_edge,Tower_pixel_1km,Tower_pixel_500m,Tower_pixel_250m,Site_Data_Visualization_URL
"COMPLET 103  (-43.6855 S -67.9073 W)",Argentina,fn_aucom103,-43.6855,-67.9073,-43.658333,-67.832864,-43.658333,-67.913494,-43.716667,-67.979572,-43.716667,-67.898864,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=20
"COMPLET 104  (-37.1532 S 145.8427 E)",Australia,fn_aucom104,-37.1532,145.8427,-37.125000,145.821717,-37.125000,145.748555,-37.183333,145.861044,-37.183333,145.934262,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=21
"COMPLET 106  (-31.7097 S 121.1653 E)",Australia,fn_aucom106,-31.7097,121.1653,-31.683333,121.166515,-31.683333,121.097965,-31.741667,121.174172,-31.741667,121.242765,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=22
"COMPLET 107  (-28.4435 S 150.1976 E)",Australia,fn_aucom107,-28.4435,150.1976,-28.416667,150.197238,-28.416667,150.130913,-28.475000,150.213739,-28.475000,150.280101,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=23
"COMPLET 111  (-25.9032 S -66.0927 W)",Argentina,fn_aucom111,-25.9032,-66.0927,-25.875000,-66.046250,-25.875000,-66.111083,-25.933333,-66.143780,-25.933333,-66.078915,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=24
"COMPLET 112  (-25.9032 S 136.4073 E)",Australia,fn_aucom112,-25.9032,136.4073,-25.875000,136.408522,-25.875000,136.343689,-25.933333,136.411122,-25.933333,136.475987,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=25
"COMPLET 113  (-24.0887 S 122.9798 E)",Australia,fn_aucom113,-24.0887,122.9798,-24.058333,122.983465,-24.058333,122.919582,-24.116667,122.975543,-24.116667,123.039454,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=26
"COMPLET 117  (-17.5565 S 30.4395 E)",Zimbabwe,fn_aucom117,-17.5565,30.4395,-17.525000,30.463965,-17.525000,30.402792,-17.583333,30.412586,-17.583333,30.473778,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=27
"COMPLET 118  (-17.1935 S 134.5927 E)",Australia,fn_aucom118,-17.1935,134.5927,-17.166667,134.604952,-17.166667,134.543899,-17.225000,134.586297,-17.225000,134.647370,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=28
"Cape Tribulation",Australia,fn_audaintr,-16.10315,145.4468833,-16.075000,145.453905,-16.075000,145.393198,-16.133333,145.435942,-16.133333,145.496666,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=29
"Daly River Cleared",Australia,fn_audalycl,-14.134283,131.384514,-14.108333,131.396708,-14.108333,131.336561,-14.166667,131.370245,-14.166667,131.430408,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=30
"Daly River Savanna",Australia,fn_audalysv,-14.159283,131.388,-14.133333,131.402539,-14.133333,131.342385,-14.191667,131.376132,-14.191667,131.436302,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=31
"Darwin TWP C3",Australia,fn_audarwin,-12.42471944,130.8916694,-12.391667,130.908032,-12.391667,130.848308,-12.450000,130.877651,-12.450000,130.937390,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=32
"Falls Creek",Australia,fn_aumchugh,-36.86686667,147.3457667,-36.841667,147.330989,-36.841667,147.258100,-36.900000,147.370590,-36.900000,147.443535,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=34
"Fogg Dam",Australia,fn_aufoggdm,-12.542533,131.3068833,-12.516667,131.321108,-12.516667,131.261354,-12.575000,131.291097,-12.575000,131.350864,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=35
"Gnangara",Australia,fn_augnanga,-32.37,116.11,-32.341667,116.112123,-32.341667,116.043079,-32.400000,116.117996,-32.400000,116.187084,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=36
"Howard Springs",Australia,fn_auhoward,-12.49428,131.15231,-12.466667,131.167703,-12.466667,131.107961,-12.525000,131.137547,-12.525000,131.197302,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=37
"Janina",Australia,fn_aujanina,-30.07666667,144.1363889,-30.050000,144.131188,-30.050000,144.063796,-30.108333,144.148773,-30.108333,144.216204,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=38
"Mackay",Australia,fn_aumackay,-21.23805556,149.1069444,-21.208333,149.107185,-21.208333,149.044614,-21.266667,149.103597,-21.266667,149.166193,25,106,407,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=39
"Melbourne (Preston)",Australia,fn_aumelbou,-37.730564,145.014675,-37.700000,144.996951,-37.700000,144.923226,-37.758333,145.037428,-37.758333,145.111212,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=40
"Otway",Australia,fn_auotway,-38.53234444,142.8168056,-38.500000,142.791765,-38.500000,142.717228,-38.558333,142.832974,-38.558333,142.907571,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=41
"Tinga Tingana",Australia,fn_autinga,-29,139.8316667,-28.975000,139.826981,-28.975000,139.760301,-29.033333,139.839210,-29.033333,139.905927,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=42
"Tumbarumba",Australia,fn_autumbar,-35.65572222,148.1520833,-35.625000,148.131666,-35.625000,148.059901,-35.683333,148.168077,-35.683333,148.239893,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=43
"Uardry/NSW",Australia,fn_as00uard,-34.38788976,145.3027587,-34.358333,145.291532,-34.358333,145.220870,-34.416667,145.322094,-34.416667,145.392805,25,105,405,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=44
"Virginia Park",Australia,fn_auvrgprk,-19.88333333,146.5538889,-19.858333,146.565455,-19.858333,146.503433,-19.916667,146.557400,-19.916667,146.619445,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=45
"Wallaby Creek",Australia,fn_auwallab,-37.426233,145.18725,-37.400000,145.169785,-37.400000,145.096356,-37.458333,145.209463,-37.458333,145.282949,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=46
"Brasschaat (De Inslag Forest)",Belgium,fn_bebrasch,51.30916667,4.520555556,51.341667,4.575713,51.341667,4.482331,51.283333,4.476636,51.283333,4.569899,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=47
"Jalhay",Belgium,fn_bejalhay,50.56388889,6.073333333,50.591667,6.116999,50.591667,6.025113,50.533333,6.017659,50.533333,6.109432,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=48
"Lonzee",Belgium,fn_belonzee,50.55219444,4.744944444,50.583333,4.790364,50.583333,4.698494,50.525000,4.692683,50.525000,4.784440,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=49
"Soignes",Belgium,fn_besoigne,50.78,4.42,50.808333,4.470527,50.808333,4.378215,50.750000,4.372757,50.750000,4.464954,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=50
"Vielsalm",Belgium,fn_bevielsa,50.30552406,5.996833333,50.333333,6.044512,50.333333,5.953126,50.275000,5.945829,50.275000,6.037103,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=51
"Bondoukoui",Burkina Faso,fn_bfbondou,11.85,-2.25,11.875000,-2.222565,11.875000,-2.282174,11.816667,-2.281687,11.816667,-2.222091,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=52
"Ouagadougou",Burkina Faso,fn_bfouagad,12.2,-1.4,12.225000,-1.372797,12.225000,-1.432484,12.166667,-1.432168,12.166667,-1.372495,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=53
"Oueme",Benin,fn_bjoueme0,9.5,2,9.525000,2.027958,9.525000,1.968810,9.466667,1.968474,9.466667,2.027613,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=54
"Turco (VALERI)",Bolivia,fn_boturco0,-18.23945278,-68.193325,-18.208333,-68.154388,-18.208333,-68.215796,-18.266667,-68.238684,-18.266667,-68.177256,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=55
"Atlantic Forest Sao Paulo",Brazil,fn_bratlfor,-23.32847222,-45.09311111,-23.300000,-45.048901,-23.300000,-45.112414,-23.358333,-45.132226,-23.358333,-45.068685,25,91,377,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=56
"Balbina",Brazil,fn_brbalbin,-1.916983333,-59.4868,-1.891667,-59.457403,-1.891667,-59.515768,-1.950000,-59.517800,-1.950000,-59.459433,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=57
"Ecotone Bananal Island",Brazil,fn_brbnisld,-9.824416667,-50.15911111,-9.791667,-50.121809,-9.791667,-50.181005,-9.850000,-50.189849,-9.850000,-50.130643,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=58
"Belterra",Brazil,fn_brbelter,-2.648483,-54.95165,-2.616667,-54.923934,-2.616667,-54.982328,-2.675000,-54.984915,-2.675000,-54.926518,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=59
"Braganca (Para)",Brazil,fn_brbragan,-0.723708333,-48.50809722,-0.691667,-48.478532,-0.691667,-48.536870,-0.750000,-48.537492,-0.750000,-48.479153,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=60
"Bragansa",Brazil,fn_brbragsa,-0.834,-46.641,-0.808333,-46.612972,-0.808333,-46.671311,-0.866667,-46.672006,-0.866667,-46.613666,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=61
"Brasilia",Brazil,fn_brbrasil,-15.917,-47.900002,-15.891667,-47.862587,-15.891667,-47.923238,-15.950000,-47.937158,-15.950000,-47.876489,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=62
"Caxiuana Forest-Almeirim",Brazil,fn_brcaxiua,-1.719719444,-51.45898333,-1.691667,-51.430749,-1.691667,-51.489107,-1.750000,-51.490682,-1.750000,-51.432322,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=63
"Caxiuana 2",Brazil,fn_brcaxiu2,-1.71,-51.51,-1.683333,-51.480550,-1.683333,-51.538908,-1.741667,-51.540477,-1.741667,-51.482117,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=64
"COMPLET 108  (-27.7177 S -50.8508 W)",Brazil,fn_brcom108,-27.7177,-50.8508,-27.691667,-50.802149,-27.691667,-50.868028,-27.750000,-50.895250,-27.750000,-50.829335,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=65
"COMPLET 116  (-19.0081 S -53.0282 W)",Brazil,fn_brcom116,-19.0081,-53.0282,-18.975000,-52.987654,-18.975000,-53.049339,-19.033333,-53.067944,-19.033333,-53.006237,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=66
"COMPLET 122  (-9.2097 S -42.8669 W)",Brazil,fn_brcom122,-9.2097,-42.8669,-9.183333,-42.832327,-9.183333,-42.891418,-9.241667,-42.898501,-9.241667,-42.839400,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=67
"COMPLET 123  (-6.6694 S -53.3911 W)",Brazil,fn_brcom123,-6.6694,-53.3911,-6.641667,-53.358091,-6.641667,-53.416818,-6.700000,-53.423179,-6.700000,-53.364444,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=68
"Eucaliptus Sao Paulo",Brazil,fn_breucali,-21.5835,-47.60230556,-21.558333,-47.560477,-21.558333,-47.623198,-21.616667,-47.642386,-21.616667,-47.579640,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=69
"Jaru_Reserve",Brazil,fn_brjarure,-10.08333333,-61.93333333,-10.058333,-61.901397,-10.058333,-61.960640,-10.116667,-61.971864,-10.116667,-61.912609,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=70
"Rond.- Faz. Nossa Senhora-Ji Parana-pasture",Brazil,fn_brjipapa,-10.76180556,-62.35722222,-10.733333,-62.323711,-10.733333,-62.383083,-10.791667,-62.395157,-10.791667,-62.335773,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=71
"Rond.- Rebio Jaru Ji Parana- Tower A",Brazil,fn_br00jipa,-10.08319444,-61.93090278,-10.050000,-61.891337,-10.050000,-61.950580,-10.108333,-61.961792,-10.108333,-61.902539,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=72
"Rond.- Rebio Jaru Ji Parana- Tower B",Brazil,fn_brjipatb,-10.07805556,-61.93309722,-10.050000,-61.899800,-10.050000,-61.959043,-10.108333,-61.970257,-10.108333,-61.911003,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=73
"Manaus TWP C1",Brazil,fn_brmanaus,-2.06141,147.4252806,-2.033333,147.451175,-2.033333,147.392805,-2.091667,147.398210,-2.091667,147.456582,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=74
"Manaus - ZF2 C14",Brazil,fn_brmana14,-2.589202778,-60.11490278,-2.558333,-60.084887,-2.558333,-60.143278,-2.616667,-60.146046,-2.616667,-60.087651,25,106,407,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=75
"Manaus - ZF2 K34",Brazil,fn_brmana34,-2.609097222,-60.20929722,-2.583333,-60.177824,-2.583333,-60.236217,-2.641667,-60.239015,-2.641667,-60.180620,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=76
"Sinop- Mato Grosso",Brazil,fn_brmatogr,-11.41229167,-55.32470278,-11.383333,-55.287583,-11.383333,-55.347086,-11.441667,-55.358462,-11.441667,-55.298946,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=77
"Pantanal",Brazil,fn_brpantan,-19.56,-57.01,-19.533333,-56.970481,-19.533333,-57.032377,-19.591667,-57.053014,-19.591667,-56.991096,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=78
"Brasilia-Reserva Ecol  Aguas Emendadas",Brazil,fn_brreserv,-15.55,-47.6,-15.525000,-47.560297,-15.525000,-47.620839,-15.583333,-47.634336,-15.583333,-47.573776,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=79
"Rio_Branco",Brazil,fn_brriobra,-9.957466667,-67.86935,-9.925000,-67.831823,-9.925000,-67.891043,-9.983333,-67.903175,-9.983333,-67.843945,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=80
"Pandeiros",Brazil,fn_brsanchz,-14.84827778,-43.98797222,-14.816667,-43.953151,-14.816667,-44.013491,-14.875000,-44.025370,-14.875000,-43.965014,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=81
"Santarem-Km67-Primary Forest",Brazil,fn_br00sant,-2.856666667,-54.95888889,-2.825000,-54.925082,-2.825000,-54.983487,-2.883333,-54.986278,-2.883333,-54.927870,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=83
"Santarem-Km77-Pasture",Brazil,fn_brsant77,-3.0118955,-54.53652,-2.983333,-54.507206,-2.983333,-54.565619,-3.041667,-54.568542,-3.041667,-54.510127,25,92,379,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=84
"Santarem-Km83-Logged Forest",Brazil,fn_brsant83,-3.01802927,-54.97143509,-2.991667,-54.941545,-2.991667,-54.999957,-3.050000,-55.002913,-3.050000,-54.944496,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=85
"Santarem 2",Brazil,fn_brsantr2,-2.433333333,-54.75,-2.408333,-54.723336,-2.408333,-54.781720,-2.466667,-54.784095,-2.466667,-54.725707,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=86
"Sao_Paulo",Brazil,fn_brsaopau,-23.5615,-46.73498333,-23.533333,-46.691785,-23.533333,-46.755411,-23.591667,-46.776175,-23.591667,-46.712522,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=87
"Sao Gabriel da Cachoeira",Brazil,fn_brsaogab,0.212333333,-66.76473333,0.241667,-66.733927,0.241667,-66.792261,0.183333,-66.792009,0.183333,-66.733675,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=88
"Sao Paulo Cerrado",Brazil,fn_brsaosav,-21.61947222,-47.64988889,-21.591667,-47.607268,-21.591667,-47.670003,-21.650000,-47.689243,-21.650000,-47.626482,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=89
"Sao Paulo Sugar Cane",Brazil,fn_brsaosug,-21.63705556,-47.79025,-21.608333,-47.747200,-21.608333,-47.809942,-21.666667,-47.829255,-21.666667,-47.766487,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=90
"Brasilia - Campo Sujo Bienal Tardia",Brazil,fn_brsujobi,-15.95,-47.86666667,-15.925000,-47.827194,-15.925000,-47.887855,-15.983333,-47.901796,-15.983333,-47.841116,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=91
"Ghanzi/Okwa River Crossing",Botswana,fn_bwghanzi,-22.40916667,21.71305556,-22.383333,21.737794,-22.383333,21.674708,-22.441667,21.683811,-22.441667,21.746924,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=93
"Maun- Mopane Woodland",Botswana,fn_bwmaun1,-19.91546,23.56047,-19.883333,23.589576,-19.883333,23.527545,-19.941667,23.536224,-19.941667,23.598278,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=94
"Maun- Floodplain",Botswana,fn_bwmaun2,-19.60759167,23.28693056,-19.575000,23.314137,-19.575000,23.252225,-19.633333,23.260658,-19.633333,23.322592,25,105,434,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=95
"Pandamatenga",Botswana,fn_bwpandam,-18.65527778,25.50027778,-18.625000,25.528622,-18.625000,25.467065,-18.683333,25.475820,-18.683333,25.537398,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=96
"Tshane",Botswana,fn_bwtshane,-24.16416667,21.89277778,-24.133333,21.915491,-24.133333,21.851571,-24.191667,21.861554,-24.191667,21.925504,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=97
"Acadia Road 16",Canada,fn_caaca16,46.0167,-66.3694,46.041667,-66.353561,46.041667,-66.437598,45.983333,-66.367560,45.983333,-66.283612,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=98
"Acadia Road 9",Canada,fn_caacad9,45.9847,-66.3,46.016667,-66.299556,46.016667,-66.383556,45.958333,-66.313636,45.958333,-66.229725,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=99
"Alberta (54 N -115 W)",Canada,fn_caalbta1,54.5,-115.7,54.525000,-115.720862,54.525000,-115.821377,54.466667,-115.656204,54.466667,-115.555833,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=100
"Alberta 2 (51N -113 W)",Canada,fn_caalbta2,51.7,-113.9,51.725000,-113.920734,51.725000,-114.014906,51.666667,-113.868040,51.666667,-113.773990,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=101
"Alert",Canada,fn_caalert,82.45,-62.51666667,82.475000,-62.487856,82.475000,-62.933289,82.416667,-62.451984,82.416667,-62.009958,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=102
"Annapolis Valley",Canada,fn_caannapo,44.9019,-65.1217,44.933333,-65.119519,44.933333,-65.201919,44.875000,-65.135792,44.875000,-65.053475,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=103
